iter	Logloss
0	0.666957613
1	0.6393245996
2	0.6183280178
3	0.6033951298
4	0.5819519512
5	0.5664881174
6	0.5528985483
7	0.5430989823
8	0.5345594272
9	0.5242447039
10	0.5151055545
11	0.5094377287
12	0.5009659632
13	0.4930072824
14	0.4853273527
15	0.4781372667
16	0.47115335
17	0.4630756725
18	0.4611857681
19	0.4559552843
20	0.4505265723
21	0.4470617685
22	0.441710319
23	0.4372289141
24	0.4321969868
25	0.4266474184
26	0.4264497969
27	0.4227460903
28	0.4187020187
29	0.4170919355
30	0.4153376633
31	0.4121808699
32	0.4088691887
33	0.4066624032
34	0.4041017041
35	0.4004758042
36	0.3992077707
37	0.396963972
38	0.3955725794
39	0.3936873037
40	0.3933350276
41	0.3919822748
42	0.3889992603
43	0.3875219638
44	0.3850150856
45	0.3835778652
46	0.3815729979
47	0.3792219693
48	0.3782287746
49	0.3779829904
50	0.3766842622
51	0.3742940233
52	0.372317384
53	0.3713671584
54	0.3701794563
55	0.3696791732
56	0.3679561849
57	0.3654617369
58	0.3636578032
59	0.3633007717
60	0.3612389865
61	0.3602492587
62	0.3596011663
63	0.3593054969
64	0.3590398705
65	0.3584665239
66	0.357688075
67	0.3572286618
68	0.3562750355
69	0.3556476707
70	0.3550994008
71	0.3546482333
72	0.3530489575
73	0.3511953916
74	0.3503575702
75	0.3497532399
76	0.3494646359
77	0.3492756264
78	0.3484331894
79	0.3475646623
80	0.3475525171
81	0.3459924965
82	0.3431950714
83	0.3419840287
84	0.3412665121
85	0.3403114821
86	0.339670306
87	0.3386102117
88	0.3375975411
89	0.3373650883
90	0.3358062207
91	0.3349549433
92	0.3341632471
93	0.332590092
94	0.3320881977
95	0.3313681253
96	0.3312090053
97	0.3287056578
98	0.3279234435
99	0.3271733648
100	0.3271154404
101	0.3259912008
102	0.3254176537
103	0.3246624074
104	0.3239119847
105	0.322104537
106	0.3217677304
107	0.3202749876
108	0.3196532033
109	0.3195777066
110	0.3192340872
111	0.3178195936
112	0.3168668529
113	0.3160779796
114	0.3158298966
115	0.3148196351
116	0.3145411696
117	0.3144299425
118	0.3135599477
119	0.3124235832
120	0.3121349026
121	0.31144058
122	0.3111841089
123	0.3097721562
124	0.3090215397
125	0.3087529073
126	0.3085507307
127	0.308338681
128	0.3077865948
129	0.3055871255
130	0.30548836
131	0.304598974
132	0.3035617575
133	0.302621545
134	0.3016562131
135	0.3012554411
136	0.3011576891
137	0.301021852
138	0.3004706058
139	0.2994093929
140	0.2992045752
141	0.2988574844
142	0.2974645318
143	0.2971299864
144	0.2964135049
145	0.2961571045
146	0.29609292
147	0.2953656416
148	0.2952437667
149	0.2945600882
150	0.2937815729
151	0.2926431448
152	0.292528385
153	0.2922805526
154	0.2906314292
155	0.2905509066
156	0.2904471881
157	0.2901980921
158	0.2900732985
159	0.2885277562
160	0.2882586352
161	0.2881294825
162	0.288068557
163	0.2865793509
164	0.2864656915
165	0.2863098926
166	0.28497428
167	0.284830463
168	0.284089263
169	0.283914907
170	0.2823591375
171	0.2805955486
172	0.280375447
173	0.2794819276
174	0.2780750941
175	0.276778258
176	0.2766695551
177	0.2765721522
178	0.2764858415
179	0.276416333
180	0.2758308328
181	0.2757223257
182	0.2735469949
183	0.272196034
184	0.2721069127
185	0.2698508119
186	0.2689588568
187	0.2668911581
188	0.2659700669
189	0.2646755017
190	0.2638949253
191	0.2630240555
192	0.2608791337
193	0.260239044
194	0.2591589096
195	0.2577430812
196	0.2558349234
197	0.2531726436
198	0.2523221819
199	0.2510272247
200	0.2494806855
201	0.2480619873
202	0.2473146478
203	0.2470806286
204	0.2461538604
