iter	Logloss
0	0.6764110529
1	0.6590710085
2	0.6446506347
3	0.6321179991
4	0.6242178038
5	0.6139392057
6	0.604562736
7	0.5971273322
8	0.5887277219
9	0.5820864728
10	0.5765360395
11	0.5735770313
12	0.5671430785
13	0.5625512433
14	0.5590762747
15	0.5542433157
16	0.5497731626
17	0.5454443944
18	0.541693947
19	0.5376383398
20	0.5345323515
21	0.5303696407
22	0.5272348485
23	0.5236371703
24	0.5206824643
25	0.5182072753
26	0.5166438753
27	0.5129821187
28	0.5115254916
29	0.5092472012
30	0.5078302791
31	0.5061788997
32	0.5050362076
33	0.5043936852
34	0.5041814477
35	0.503868424
36	0.5014076161
37	0.4991273556
38	0.4973504742
39	0.4945451477
40	0.4928623839
41	0.4908075074
42	0.4893294097
43	0.4869511864
44	0.4857815568
45	0.4849393197
46	0.4843844993
47	0.4841574621
48	0.4841302933
49	0.4837455454
50	0.4824223609
51	0.4823962114
52	0.4823615101
53	0.48173791
54	0.4808215996
55	0.4807978158
56	0.4792228966
57	0.479213352
58	0.478783142
59	0.4785817586
60	0.4778254507
61	0.4777804937
62	0.4770621575
63	0.4770057167
64	0.4756575361
65	0.4755798178
66	0.4754357738
67	0.4741214176
68	0.4734584986
69	0.473211472
70	0.4718148775
71	0.4714039858
72	0.4710630529
73	0.4698973926
74	0.4696970334
75	0.468088943
76	0.467409541
77	0.4671087394
78	0.4664354277
79	0.4649656906
80	0.4631609702
81	0.4625671346
82	0.4617288452
83	0.4613313507
84	0.4612680044
85	0.4606453855
86	0.4602065439
87	0.4592365365
88	0.4585794819
89	0.4580784942
90	0.4576698982
91	0.4570831984
92	0.4569510536
93	0.4562860142
94	0.4557491574
95	0.4557491566
96	0.4553106486
97	0.4552099607
98	0.4551827799
99	0.4549249298
100	0.4538877285
101	0.4535778052
102	0.453404627
103	0.4533991199
104	0.4526610919
105	0.4518976382
106	0.4518697487
107	0.4516702069
108	0.4515198345
109	0.4513480671
110	0.4513260435
111	0.4512531097
112	0.4509831297
113	0.4508916249
114	0.450638657
115	0.449959477
116	0.4496496986
117	0.4492779994
118	0.4486671851
119	0.4476322273
120	0.4472415532
121	0.4470857847
122	0.4470492988
123	0.4470492988
124	0.4467095912
125	0.446303382
126	0.4450627633
127	0.4450627633
128	0.4440175303
129	0.4440165302
130	0.4433054619
131	0.4425924664
132	0.4425809705
133	0.442380505
134	0.4419646445
135	0.441964608
136	0.4417851493
137	0.4410629403
138	0.4410577734
139	0.4410505034
140	0.4401740063
141	0.4401241579
142	0.4393334464
143	0.4393116201
144	0.4388228335
145	0.438628778
146	0.4382186635
147	0.4370945576
148	0.4362973692
149	0.4355920804
150	0.435376504
151	0.4347709604
152	0.4346405254
153	0.4341954588
154	0.4336579456
155	0.4334947856
156	0.4322274799
157	0.4315890602
158	0.4312347574
159	0.429946911
160	0.4299380433
161	0.4298478023
162	0.4298084516
163	0.4289802535
164	0.428792642
165	0.4275949128
166	0.4270778313
167	0.4266342315
168	0.426148754
169	0.4260656744
170	0.4257671875
171	0.4249977875
172	0.4244177495
173	0.4237938354
174	0.4236079449
175	0.423240633
176	0.423143727
177	0.4224978919
178	0.4218944178
179	0.4214063342
180	0.4211849627
181	0.4209282899
182	0.4208529367
183	0.42083265
184	0.420792149
185	0.4200774944
186	0.419659123
187	0.4192035668
188	0.4189904117
189	0.418351121
190	0.4179729211
191	0.4170557611
192	0.4162449895
193	0.4159682324
194	0.415658745
195	0.4154633459
196	0.4150885584
197	0.4141687644
198	0.4140780071
199	0.4139631517
200	0.4138811139
201	0.4131046504
202	0.4127451227
203	0.4126825139
204	0.4126091638
205	0.4123929972
206	0.4118641143
207	0.4116268112
208	0.4114411205
209	0.411362892
210	0.4106270328
211	0.4105103663
212	0.4099554672
213	0.4097254718
214	0.4094213278
215	0.4092544874
216	0.4089146641
217	0.4085319418
218	0.407775129
219	0.4073825696
220	0.4067898533
221	0.4065530014
222	0.4063987532
223	0.4061298698
